Prefix,Base,Sep,Meaning
ver,abreden,i,"agree on (a date, appointment)"
nach,ahmen,s,imitate
ver,ändern,i,change
be,antworten,i,answer (a question)
schwarz,arbeiten,s,work illegally
auf,atmen,s,sigh of relief
mit,bekommen,s,"get out (of a lecture), understand"
vor,bereiten,s,prepare
ver,bessern,i,improve
vor,bestellen,s,order in advance (books)
aus,bilden,s,"educate, train"
auf,bleiben,s,"stay up (person), stay open (store)"
weg,bleiben,s,stay away
er,blicken,i,catch sight of
ge,brauchen,i,use
aus,brechen,s,break out
ein,brechen,s,break in (house)
los,brechen,s,"break out, escape"
ver,brechen,i,commit a crime
ab,brennen,s,burn down
mit,bringen,s,bring along
um,bringen,s,kill
weg,bringen,s,take/bring away
ver,bringen,i,spend (time)
nach,denken,s,think about
an,deuten,s,suggest
ver,dienen,i,earn
aus,drucken,s,"print (text, picture)"
aus,drücken,s,express
ver,einigen,i,unite
an,erkennen,s,recognize
nach,erzählen,s,"retell, relate (a story)"
ab,fahren,s,depart
los,fahren,s,"get going, leave"
mit,fahren,s,ride along
Rad,fahren,s,ride a bicycle
schwarz,fahren,s,ride illegally (w.o. a ticket)
er,fahren,i,"hear, learn, experience"
ein,fallen,s,occur (to s.o.)
ge,fallen,i,"please, like"
zer,fallen,i,"fall apart, decay"
ver,fälschen,i,falsify
an,fangen,s,begin
emp,fangen,i,"receive, welcome"
emp,fehlen,i,recommend
ent,fernen,i,remove
ver,filmen,i,record on film
emp,finden,i,feel
er,finden,i,invent
aus,flippen,s,freak out
nach,folgen,s,"follow, succeed (a king)"
be,freien,i,"free, liberate"
mit,fühlen,s,sympathize
auf,führen,s,perform (a play)
ein,führen,s,introduce (a topic)
er,füllen,i,fulfill
er,gänzen,i,"complete, supplement"
ab,geben,s,turn in (homework)
acht,geben,s,look out
an,geben,s,show off
auf,geben,s,give up
aus,geben,s,"publish, hand out"
nach,geben,s,give in (to pressure)
ver,geben,i,forgive
aus,gehen,s,"go out, date"
los,gehen,s,get started
spazieren,gehen,s,go for a walk
weg,gehen,s,go away
ver,gessen,i,forget
ent,giften,i,decontaminate (remove poison)
ver,gleichen,i,compare
ver,gnügen,i,enjoy
ver,größern,i,enlarge
vor,haben,s,"plan, have in mind"
be,halten,i,keep
ver,hindern,i,prevent (put obstacles in front of)
nach,holen,s,make up (homework)
auf,hören,s,stop
ge,hören,i,belong to
er,innern,i,remember
er,kälten,i,catch a cold
ein,kaufen,s,go shopping
er,kennen,i,recognize
an,klagen,s,accuse
auf,klären,s,"inform, enlighten, clear up"
er,klären,i,explain
an,kleiden,s,dress
ver,kleinern,i,reduce in size
an,kommen,s,arrive
mit,kommen,s,come with
vor,kommen,s,"come up, happen"
be,kommen,i,"get, receive"
ent,kommen,i,escape
ent,kräften,i,weaken
zer,kratzen,i,"scratch up, tear apart with claws"
ab,kürzen,s,shorten
aus,lachen,s,laugh at (s.o.)
ein,laden,s,invite
ent,lassen,i,"relieve, let go"
ver,lassen,i,"leave, abandon"
er,lauben,i,permit
nach,laufen,s,run after s.o.
weg,laufen,s,run away
ent,laufen,i,run away from
ein,leben,s,get used to
er,leben,i,experience
er,ledigen,i,"arrange, take care of"
kennen,lernen,s,get to know
vor,lesen,s,read out loud
